Asrock B450M Steel Legend,93.99,77.68,93.99,0,96.0
Gigabyte X570 Aorus Elite,219.91,181.74,219.91,0,87.4
Gigabyte H310M S2H 2.0,58.99,48.75,58.99,0,89.2
Gigabyte B450 Aorus Elite,103.9,85.87,103.9,0,92.0
Asus TUF B450-PLUS GAMING,99.99,82.64,99.99,0,93.0
Gigabyte B450 AORUS M,90.99,75.2,90.99,0,92.6
MSI Mpg Z390 Gaming Pro Carbon,204.9,169.34,204.9,0,93.9
MSI Mag Z390 Tomahawk,154.9,128.02,154.9,0,95.7
Asus Prime H310M-E R2.0,63.9,52.81,63.9,0,85.2
Asus Prime Z390-A,185.9,153.64,185.9,0,91.8
Asus ROG STRIX B450-F GAMING,132.9,109.83,132.9,0,90.4
Gigabyte GA-A320M-S2H,50.99,42.14,50.99,0,81.0
Asus H110M-A/DP,59.99,49.58,59.99,0,100.0
Asus Prime X570-P,189.9,156.94,189.9,0,91.6
Gigabyte B365M-D3H,83.99,69.41,83.99,0,89.5
MSI B450M PRO-M2 MAX,65.99,54.54,65.99,0,91.8
MSI A320M-A PRO M2,57.06,47.16,57.06,0,92.9
MSI MPG X570 Gaming Edge WI-Fi,229.9,190.0,229.9,0,94.8
MSI MPG X570 Gaming Pro Carbon WIFI,269.9,223.06,269.9,0,94.4
Asus Rog Strix Z390-E Gaming,244.9,202.4,244.9,0,93.9
MSI Mpg Z390 Gaming Edge AC,174.9,144.55,174.9,0,95.0
Asus ROG STRIX B365-G GAMING,114.9,94.96,114.9,0,97.8
Gigabyte Z390 Aorus Pro,189.9,156.94,200.9,6,95.4
Asus PRIME B360M-A,79.99,66.11,79.99,0,92.6
Intel Pentium Gold G5420 3.8 GHz,56.99,47.1,71.98,21,40.0
Intel Core i5-9400 2.9 GHz,212.9,175.95,212.9,0,93.3
AMD Athlon 3000G 3.5GHz,52.99,43.79,52.99,0,93.8
AMD Ryzen 5 1400 3.2GHZ BOX,92.99,76.85,92.99,0,95.2
AMD Ryzen 9 3950X 4.70 GHz,809.9,669.34,809.9,0,100.0
Intel Core i3-9100 3.6 GHz,134.9,111.49,134.9,0,80.0
AMD Ryzen 3 1200 3.4Ghz,135.84,112.26,135.84,0,91.0
AMD Athlon 200GE 3.2GHz Socket AM4,44.99,37.18,44.99,0,92.4
Procesador Intel Celeron G4920 3.2Ghz BOX,41.99,34.7,41.99,0,91.1
Procesador Intel Pentium Gold G5400 3.7GHz Box,56.99,47.1,56.99,0,94.0
Intel Core i9-10900X 3.70 GHz,659.9,545.37,659.9,0,66.7
AMD Ryzen Threadripper 1920X 3.5GHz,224.9,185.87,224.9,0,98.0
Intel Core i9-9900KF 3.6 GHz ,561,463.64,561,0,97.8
AMD A Series A8-7680 3.5 GHz,51.99,42.97,51.99,0,92.9
Intel Celeron G4930 3.2 GHz,39,32.23,39,0,100.0
Intel Core i9-9900 3.1 GHz,467.89,386.69,467.89,0,60.0
Intel Core i7-8700K 3.7Ghz BOX,389.9,322.23,389.9,0,96.2
Intel Core I7-7700 3.6GHz BOX,339.9,280.91,339.9,0,95.0
AMD RYZEN 7 1800X 4.0GHz,472.5,390.5,472.5,0,96.6
AMD A6-9500 3.50 GHz Socket AM4,41.99,34.7,41.99,0,78.8
AMD Ryzen Threadripper 3960X,1509.9,1247.85,1509.9,0,100.0
AMD Ryzen Threadripper 3970X,2139.9,1768.51,2139.9,0,100.0
Intel Core i7-8700 3.2Ghz BOX,369.9,305.7,369.9,0,94.7
AMD Athlon X4 950 3.5Ghz,49.99,41.31,49.99,0,88.3
